Site Name,Country,Region,Category,Year Inscribed,Is Endangered,Longitude,Latitude,Area (ha),UNESCO Criteria,Endangered Status (Year),Year Listed Endangered,Delisting Year,Site ID
Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Australia,Asia and the Pacific,Mixed,1987,Not Endangered,131,-25.33333333,132566,(v)(vi)(vii)(viii),,,,447
Wet Tropics of Queensland,Australia,Asia and the Pacific,Natural,1988,Not Endangered,144.9666667,-15.65,893453,(vii)(viii)(ix)(x),,,,486
Heard and McDonald Islands,Australia,Asia and the Pacific,Natural,1997,Not Endangered,73.5,-53.1,658903,(viii)(ix),,,,577
"Shark Bay, Western Australia",Australia,Asia and the Pacific,Natural,1991,Not Endangered,113.4361111,-25.48611111,2200902,(vii)(viii)(ix)(x),,,,578
Macquarie Island,Australia,Asia and the Pacific,Natural,1997,Not Endangered,158.8955556,-54.59472222,540000,(vii)(viii),,,,629
Fraser Island,Australia,Asia and the Pacific,Natural,1992,Not Endangered,153.1333333,-25.21666667,184000,(vii)(viii)(ix),,,,630
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Australia,Asia and the Pacific,Natural,1994,Not Endangered,138.7166667,-19.08333333,10326,(viii)(ix),,,,698
Greater Blue Mountains Area,Australia,Asia and the Pacific,Natural,2000,Not Endangered,150,-33.7,1032649,(ix)(x),,,,917
Purnululu National Park,Australia,Asia and the Pacific,Natural,2003,Not Endangered,128.5,-17.5,239723,(vii)(viii),,,,1094
Royal Exhibition Building and Carlton Gardens,Australia,Asia and the Pacific,Cultural,2004,Not Endangered,144.9702778,-37.80611111,26,(ii),,,,1131
Australian Convict Sites,Australia,Asia and the Pacific,Cultural,2010,Not Endangered,150.9944444,-33.37833333,1502.51,(iv)(vi),,,,1306
Ningaloo Coast,Australia,Asia and the Pacific,Natural,2011,Not Endangered,113.8102778,-22.5625,705015,(vii)(x),,,,1369
Budj Bim Cultural Landscape,Australia,Asia and the Pacific,Cultural,2019,Not Endangered,141.8852778,-38.08111111,9935,(iii)(v),,,,1577
Historic Centre of the City of Salzburg,Austria,Europe and North America,Cultural,1996,Not Endangered,13.04333333,47.80055556,236,(ii)(iv)(vi),,,,784
Semmering Railway,Austria,Europe and North America,Cultural,1998,Not Endangered,15.82797222,47.64877778,156.18,(ii)(iv),,,,785
Palace and Gardens of Schönbrunn,Austria,Europe and North America,Cultural,1996,Not Endangered,16.31333333,48.18666667,186.28,(i)(iv),,,,786
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Austria,Europe and North America,Cultural,1997,Not Endangered,13.64638889,47.55944444,28446.2,(iii)(iv),,,,806
City of Graz – Historic Centre and Schloss Eggenberg,Austria,Europe and North America,Cultural,1999,Not Endangered,15.39166667,47.07416667,0,(ii)(iv),,,,931
Wachau Cultural Landscape,Austria,Europe and North America,Cultural,2000,Not Endangered,15.43416667,48.36444444,18387,(ii)(iv),,,,970
Historic Centre of Vienna,Austria,Europe and North America,Cultural,2001,Endangered,16.38333333,48.21666667,371,(ii)(iv)(vi),Y 2017,2017,,1033
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Azerbaijan,Europe and North America,Cultural,2000,Not Endangered,49.83333333,40.36666667,21.5,(iv),P 2003-2009,2003,2009,958
Gobustan Rock Art Cultural Landscape,Azerbaijan,Europe and North America,Cultural,2007,Not Endangered,49.375,40.125,537.22,(iii),,,,1076
Historic Centre of Sheki with the Khan’s Palace,Azerbaijan,Europe and North America,Cultural,2019,Not Endangered,47.1875,41.20333333,120.5,(ii)(v),,,,1549
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Bahrain,Arab States,Cultural,2005,Not Endangered,50.52722222,26.23306,70.4,(ii)(iii)(iv),,,,1192
"Pearling, Testimony of an Island Economy",Bahrain,Arab States,Cultural,2012,Not Endangered,50.61351,26.24128,35086.81,(iii),,,,1364
Dilmun Burial Mounds,Bahrain,Arab States,Cultural,2019,Not Endangered,50.51277778,26.14972222,168.45,(iii)(iv),,,,1542
Historic Mosque City of Bagerhat,Bangladesh,Asia and the Pacific,Cultural,1985,Not Endangered,89.8,22.66667,0,(iv),,,,321
Ruins of the Buddhist Vihara at Paharpur,Bangladesh,Asia and the Pacific,Cultural,1985,Not Endangered,88.98333333,25.03333333,0,(i)(ii)(vi),,,,322
The Sundarbans,Bangladesh,Asia and the Pacific,Natural,1997,Not Endangered,89.18333,21.95,139500,(ix)(x),,,,798
Historic Bridgetown and its Garrison,Barbados,Latin America and the Caribbean,Cultural,2011,Not Endangered,-59.61388889,13.09666667,187,(ii)(iii)(iv),,,,1376
Mir Castle Complex,Belarus,Europe and North America,Cultural,2000,Not Endangered,26.47272222,53.45108333,27,(ii)(iv),,,,625
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Belarus,Europe and North America,Cultural,2005,Not Endangered,26.69139,53.22278,0,(ii)(iv)(vi),,,,1196
Flemish Béguinages,Belgium,Europe and North America,Cultural,1998,Not Endangered,4.47375,51.03097222,59.95,(ii)(iii)(iv),,,,855
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",Belgium,Europe and North America,Cultural,1998,Not Endangered,4.13722,50.48111,67.3436,(iii)(iv),,,,856
"La Grand-Place, Brussels",Belgium,Europe and North America,Cultural,1998,Not Endangered,4.35242,50.84668,1.48,(ii)(iv),,,,857
Historic Centre of Brugge,Belgium,Europe and North America,Cultural,2000,Not Endangered,3.22527,51.20891,410,(ii)(iv)(vi),,,,996
Major Town Houses of the Architect Victor Horta (Brussels),Belgium,Europe and North America,Cultural,2000,Not Endangered,4.36223,50.82806,0,(i)(ii)(iv),,,,1005
Neolithic Flint Mines at Spiennes (Mons),Belgium,Europe and North America,Cultural,2000,Not Endangered,3.97879,50.43077,172,(i)(iii)(iv),,,,1006
Notre-Dame Cathedral in Tournai,Belgium,Europe and North America,Cultural,2000,Not Endangered,3.38926,50.60603,0.4963,(ii)(iv),,,,1009
Plantin-Moretus House-Workshops-Museum Complex,Belgium,Europe and North America,Cultural,2005,Not Endangered,4.39778,51.21833,0.23,(ii)(iii)(iv)(vi),,,,1185
Stoclet House,Belgium,Europe and North America,Cultural,2009,Not Endangered,4.416111111,50.835,0.86,(i)(ii),,,,1298
Major Mining Sites of Wallonia,Belgium,Europe and North America,Cultural,2012,Not Endangered,3.838333333,50.43527778,118.07,(ii)(iv),,,,1344
Belize Barrier Reef Reserve System,Belize,Latin America and the Caribbean,Natural,1996,Not Endangered,-87.05833333,16.75,96300,(vii)(ix)(x),P 2009-2018,2009,2018,764
Royal Palaces of Abomey,Benin,Africa,Cultural,1985,Not Endangered,1.983333333,7.183333333,47.6,(iii)(iv),P 1985-2007,1985,2007,323
City of Potosí,Bolivia (Plurinational State of),Latin America and the Caribbean,Cultural,1987,Endangered,-65.75306,-19.58361,0,(ii)(iv)(vi),Y 2014,2014,,420
Jesuit Missions of the Chiquitos,Bolivia (Plurinational State of),Latin America and the Caribbean,Cultural,1990,Not Endangered,-60.5,-16,0,(iv)(v),,,,529
Historic City of Sucre,Bolivia (Plurinational State of),Latin America and the Caribbean,Cultural,1991,Not Endangered,-65.25917,-19.04306,0,(iv),,,,566
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),Latin America and the Caribbean,Cultural,2000,Not Endangered,-68.67778,-16.55833333,0,(iii)(iv),,,,567
Fuerte de Samaipata,Bolivia (Plurinational State of),Latin America and the Caribbean,Cultural,1998,Not Endangered,-63.81666667,-18.16666667,0,(ii)(iii),,,,883
Noel Kempff Mercado National Park,Bolivia (Plurinational State of),Latin America and the Caribbean,Natural,2000,Not Endangered,-60.86667,-14.26667,1523446,(ix)(x),,,,967
Old Bridge Area of the Old City of Mostar,Bosnia and Herzegovina,Europe and North America,Cultural,2005,Not Endangered,17.81092,43.34812,7.6,(vi),,,,946
Mehmed Paša Sokolović Bridge in Višegrad,Bosnia and Herzegovina,Europe and North America,Cultural,2007,Not Endangered,19.288025,43.78144444,1.5,(ii)(iv),,,,1260
Tsodilo,Botswana,Africa,Cultural,2001,Not Endangered,21.73333333,-18.75,4800,(i)(iii)(vi),,,,1021
Okavango Delta,Botswana,Africa,Natural,2014,Not Endangered,22.9,-19.28333333,2023590,(vii)(ix)(x),,,,1432
Historic Town of Ouro Preto,Brazil,Latin America and the Caribbean,Cultural,1980,Not Endangered,-43.50555556,-20.38888889,0,(i)(iii),,,,124
Historic Centre of the Town of Olinda,Brazil,Latin America and the Caribbean,Cultural,1982,Not Endangered,-34.845,-8.013333333,120,(ii)(iv),,,,189
Historic Centre of Salvador de Bahia,Brazil,Latin America and the Caribbean,Cultural,1985,Not Endangered,-38.5,-12.96666667,0,(iv)(vi),,,,309
Sanctuary of Bom Jesus do Congonhas,Brazil,Latin America and the Caribbean,Cultural,1985,Not Endangered,-43.85777778,-20.49972222,2.19,(i)(iv),,,,334
Iguaçu National Park,Brazil,Latin America and the Caribbean,Natural,1986,Not Endangered,-54.43333,-25.68333,169695.88,(vii)(x),P 1999-2001,1999,2001,355
Brasilia,Brazil,Latin America and the Caribbean,Cultural,1987,Not Endangered,-47.9,-15.78333,11268.92,(i)(iv),,,,445
Serra da Capivara National Park,Brazil,Latin America and the Caribbean,Cultural,1991,Not Endangered,-42.33333333,-8.416666667,0,(iii),,,,606
Historic Centre of São Luís,Brazil,Latin America and the Caribbean,Cultural,1997,Not Endangered,-44.3025,-2.514166667,66.65,(iii)(iv)(v),,,,821
Historic Centre of the Town of Diamantina,Brazil,Latin America and the Caribbean,Cultural,1999,Not Endangered,-43.6,-18.23333333,28.5,(ii)(iv),,,,890
Discovery Coast Atlantic Forest Reserves,Brazil,Latin America and the Caribbean,Natural,1999,Not Endangered,-39.25,-16.5,111930,(ix)(x),,,,892
Atlantic Forest South-East Reserves,Brazil,Latin America and the Caribbean,Natural,1999,Not Endangered,-48,-24.16667,468193,(vii)(ix)(x),,,,893
Historic Centre of the Town of Goiás,Brazil,Latin America and the Caribbean,Cultural,2001,Not Endangered,-50.13336,-15.93328,40.3,(ii)(iv),,,,993
Central Amazon Conservation Complex,Brazil,Latin America and the Caribbean,Natural,2000,Not Endangered,-62.00833333,-2.333333333,5323018,(ix)(x),,,,998
Pantanal Conservation Area,Brazil,Latin America and the Caribbean,Natural,2000,Not Endangered,-57.38333,-17.71667,187818,(vii)(ix)(x),,,,999
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Brazil,Latin America and the Caribbean,Natural,2001,Not Endangered,-32.42511111,-3.857944444,42270,(vii)(ix)(x),,,,1000
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Brazil,Latin America and the Caribbean,Natural,2001,Not Endangered,-47.68461111,-14.00569444,367356,(ix)(x),,,,1035
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Brazil,Latin America and the Caribbean,Cultural,2012,Not Endangered,-43.29138889,-22.94777778,7248.78,(v)(vi),,,,1100
São Francisco Square in the Town of São Cristóvão,Brazil,Latin America and the Caribbean,Cultural,2010,Not Endangered,-37.21,-11.01611111,3,(ii)(iv),,,,1272
Paraty and Ilha Grande – Culture and Biodiversity,Brazil,Latin America and the Caribbean,Mixed,2019,Not Endangered,-44.68536944,-23.01860556,204634,(v)(x),,,,1308
Pampulha Modern Ensemble,Brazil,Latin America and the Caribbean,Cultural,2016,Not Endangered,-43.97361111,-19.85194444,154,(i)(ii)(iv),,,,1493
Valongo Wharf Archaeological Site,Brazil,Latin America and the Caribbean,Cultural,2017,Not Endangered,-43.18739444,-22.89711111,0.3895,(vi),,,,1548
Boyana Church,Bulgaria,Europe and North America,Cultural,1979,Not Endangered,23.26666667,42.65,0.68,(ii)(iii),,,,42
Madara Rider,Bulgaria,Europe and North America,Cultural,1979,Not Endangered,27.15,43.3,1.2,(i)(iii),,,,43
Thracian Tomb of Kazanlak,Bulgaria,Europe and North America,Cultural,1979,Not Endangered,25.4,42.61666667,0.0155,(i)(iii)(iv),,,,44
Rock-Hewn Churches of Ivanovo,Bulgaria,Europe and North America,Cultural,1979,Not Endangered,25.96666667,43.71666667,171.9,(ii)(iii),,,,45
Rila Monastery,Bulgaria,Europe and North America,Cultural,1983,Not Endangered,23.4,42.11666667,10.7,(vi),,,,216
Ancient City of Nessebar,Bulgaria,Europe and North America,Cultural,1983,Not Endangered,27.73,42.65611,27.1,(iii)(iv),,,,217
Srebarna Nature Reserve,Bulgaria,Europe and North America,Natural,1983,Not Endangered,27.07806,44.11444,638,(x),P 1992-2003,1992,2003,219
Pirin National Park,Bulgaria,Europe and North America,Natural,1983,Not Endangered,23.43047222,41.74272222,38350.04,(vii)(viii)(ix),,,,225
Thracian Tomb of Sveshtari,Bulgaria,Europe and North America,Cultural,1985,Not Endangered,26.66667,43.66667,647.6,(i)(iii),,,,359
Ruins of Loropéni,Burkina Faso,Africa,Cultural,2009,Not Endangered,-3.583333333,10.25,1.113,(iii),,,,1225
Ancient ferrous metallurgy sites of Burkina Faso,Burkina Faso,Africa,Cultural,2019,Not Endangered,-3.328986111,12.58775833,122.3,(iii)(iv)(vi),,,,1602
"Cidade Velha, Historic Centre of Ribeira Grande",Cabo Verde,Africa,Cultural,2009,Not Endangered,-23.60519444,14.91513889,209.1,(ii)(iii)(vi),,,,1310
Angkor,Cambodia,Asia and the Pacific,Cultural,1992,Not Endangered,103.8333333,13.43333333,40100,(i)(ii)(iii)(iv),P 1992-2004,1992,2004,668
Temple of Preah Vihear,Cambodia,Asia and the Pacific,Cultural,2008,Not Endangered,104.6838889,14.38833333,154.7,(i),,,,1224
"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,Asia and the Pacific,Cultural,2017,Not Endangered,105.0430556,12.8725,840.03,(ii)(iii)(vi),,,,1532
Dja Faunal Reserve,Cameroon,Africa,Natural,1987,Not Endangered,13,3,526000,(ix)(x),,,,407
L’Anse aux Meadows National Historic Site,Canada,Europe and North America,Cultural,1978,Not Endangered,-55.61666667,51.46666667,7991,(vi),,,,4
Nahanni National Park,Canada,Europe and North America,Natural,1978,Not Endangered,-125.5894444,61.54722222,476560,(vii)(viii),,,,24
Dinosaur Provincial Park,Canada,Europe and North America,Natural,1979,Not Endangered,-111.4922222,50.76777778,7825,(vii)(viii),,,,71
S<U>G</U>ang Gwaay,Canada,Europe and North America,Cultural,1981,Not Endangered,-131.2202778,52.095,0,(iii),,,,157
Head-Smashed-In Buffalo Jump,Canada,Europe and North America,Cultural,1981,Not Endangered,-113.6238889,49.74944444,4000,(vi),,,,158
Wood Buffalo National Park,Canada,Europe and North America,Natural,1983,Not Endangered,-112.2933333,59.35833333,4480000,(vii)(ix)(x),,,,256
Historic District of Old Québec,Canada,Europe and North America,Cultural,1985,Not Endangered,-71.21055556,46.80944444,135,(iv)(vi),,,,300
Canadian Rocky Mountain Parks,Canada,Europe and North America,Natural,1984,Not Endangered,-116.4797222,51.42472222,2299104,(vii)(viii),,,,304
Gros Morne National Park,Canada,Europe and North America,Natural,1987,Not Endangered,-57.53138889,49.6125,180500,(vii)(viii),,,,419
Miguasha National Park,Canada,Europe and North America,Natural,1999,Not Endangered,-66.35305556,48.105,87.3,(viii),,,,686
Old Town Lunenburg,Canada,Europe and North America,Cultural,1995,Not Endangered,-64.30916667,44.37611111,33.85,(iv)(v),,,,741
Rideau Canal,Canada,Europe and North America,Cultural,2007,Not Endangered,-75.765125,44.99438611,21454.81,(i)(iv),,,,1221
Joggins Fossil Cliffs,Canada,Europe and North America,Natural,2008,Not Endangered,-64.43583333,45.70972222,689,(viii),,,,1285
Landscape of Grand Pré,Canada,Europe and North America,Cultural,2012,Not Endangered,-64.30722222,45.11833333,1323.24,(v)(vi),,,,1404
Red Bay Basque Whaling Station,Canada,Europe and North America,Cultural,2013,Not Endangered,-56.42952222,51.726925,312.973,(iii)(iv),,,,1412
Pimachiowin Aki,Canada,Europe and North America,Mixed,2018,Not Endangered,-95.41127778,51.82641667,2904000,(iii)(vi)(ix),,,,1415
Mistaken Point,Canada,Europe and North America,Natural,2016,Not Endangered,-53.21111111,46.635,146,(viii),,,,1497
Writing-on-Stone / Áísínai’pi,Canada,Europe and North America,Cultural,2019,Not Endangered,-111.6333333,49.075,1106,(iii),,,,1597
Manovo-Gounda St Floris National Park,Central African Republic,Africa,Natural,1988,Endangered,21.5,9,1740000,(ix)(x),Y 1997,1997,,475
Lakes of Ounianga,Chad,Africa,Natural,2012,Not Endangered,20.50555556,19.055,62808,(vii),,,,1400
Ennedi Massif: Natural and Cultural Landscape,Chad,Africa,Mixed,2016,Not Endangered,21.86277778,17.04166667,2441200,(iii)(vii)(ix),,,,1475
Rapa Nui National Park,Chile,Latin America and the Caribbean,Cultural,1995,Not Endangered,-109.45,-27.15,6666,(i)(iii)(v),,,,715
Historic Quarter of the Seaport City of Valparaíso,Chile,Latin America and the Caribbean,Cultural,2003,Not Endangered,-71.628,-33.04063889,23.2,(iii),,,,959
Churches of Chiloé,Chile,Latin America and the Caribbean,Cultural,2000,Not Endangered,-73.76666667,-42.5,0,(ii)(iii),,,,971
Humberstone and Santa Laura Saltpeter Works,Chile,Latin America and the Caribbean,Cultural,2005,Not Endangered,-69.79406,-20.20582,573.48,(ii)(iii)(iv),P 2005-2019,2005,2019,1178
Sewell Mining Town,Chile,Latin America and the Caribbean,Cultural,2006,Not Endangered,-70.38277778,-34.08444444,17.2,(ii),,,,1214
Mount Taishan,China,Asia and the Pacific,Mixed,1987,Not Endangered,117.1,36.26667,25000,(i)(ii)(iii)(iv)(v)(vi)(vii),,,,437
The Great Wall,China,Asia and the Pacific,Cultural,1987,Not Endangered,116.08333,40.41667,2151.55,(i)(ii)(iii)(iv)(vi),,,,438
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,China,Asia and the Pacific,Cultural,1987,Not Endangered,123.4469444,41.79416667,12.96,(i)(ii)(iii)(iv),,,,439
Mogao Caves,China,Asia and the Pacific,Cultural,1987,Not Endangered,94.81667,40.13333,0,(i)(ii)(iii)(iv)(v)(vi),,,,440
Mausoleum of the First Qin Emperor,China,Asia and the Pacific,Cultural,1987,Not Endangered,109.1,34.38333333,0,(i)(iii)(iv)(vi),,,,441
Peking Man Site at Zhoukoudian,China,Asia and the Pacific,Cultural,1987,Not Endangered,115.9166667,39.73333333,480,(iii)(vi),,,,449
Mount Huangshan,China,Asia and the Pacific,Mixed,1990,Not Endangered,118.18333,30.16667,16060,(ii)(vii)(x),,,,547
Jiuzhaigou Valley Scenic and Historic Interest Area,China,Asia and the Pacific,Natural,1992,Not Endangered,103.91667,33.08333,72000,(vii),,,,637
Huanglong Scenic and Historic Interest Area,China,Asia and the Pacific,Natural,1992,Not Endangered,103.82222,32.75417,60000,(vii),,,,638
Wulingyuan Scenic and Historic Interest Area,China,Asia and the Pacific,Natural,1992,Not Endangered,110.5,29.33333,26400,(vii),,,,640
"Mountain Resort and its Outlying Temples, Chengde",China,Asia and the Pacific,Cultural,1994,Not Endangered,117.93833,40.98694,0,(ii)(iv),,,,703
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,Asia and the Pacific,Cultural,1994,Not Endangered,116.975,35.61167,0,(i)(iv)(vi),,,,704
Ancient Building Complex in the Wudang Mountains,China,Asia and the Pacific,Cultural,1994,Not Endangered,111,32.46667,0,(i)(ii)(vi),,,,705
"Historic Ensemble of the Potala Palace, Lhasa",China,Asia and the Pacific,Cultural,1994,Not Endangered,91.11717,29.65792,60.5,(i)(iv)(vi),,,,707
Lushan National Park,China,Asia and the Pacific,Cultural,1996,Not Endangered,115.8666667,29.43333333,0,(ii)(iii)(iv)(vi),,,,778
"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",China,Asia and the Pacific,Mixed,1996,Not Endangered,103.76925,29.5449,15400,(iv)(vi)(x),,,,779
Old Town of Lijiang,China,Asia and the Pacific,Cultural,1997,Not Endangered,100.23333,26.86667,145.6,(ii)(iv)(v),,,,811
Ancient City of Ping Yao,China,Asia and the Pacific,Cultural,1997,Not Endangered,112.15444,37.20139,245.62,(ii)(iii)(iv),,,,812
Classical Gardens of Suzhou,China,Asia and the Pacific,Cultural,1997,Not Endangered,120.45,31.31666667,11.922,(i)(ii)(iii)(iv)(v),,,,813
"Summer Palace, an Imperial Garden in Beijing",China,Asia and the Pacific,Cultural,1998,Not Endangered,116.1411111,39.91055556,297,(i)(ii)(iii),,,,880
Temple of Heaven: an Imperial Sacrificial Altar in Beijing,China,Asia and the Pacific,Cultural,1998,Not Endangered,116.4447222,39.84555556,215,(i)(ii)(iii),,,,881
Mount Wuyi,China,Asia and the Pacific,Mixed,1999,Not Endangered,117.68333,27.71667,107044,(iii)(vi)(vii)(x),,,,911
Dazu Rock Carvings,China,Asia and the Pacific,Cultural,1999,Not Endangered,105.705,29.70111,20.41,(i)(ii)(iii),,,,912
Mount Qingcheng and the Dujiangyan Irrigation System,China,Asia and the Pacific,Cultural,2000,Not Endangered,103.60528,31.00167,0,(ii)(iv)(vi),,,,1001
Ancient Villages in Southern Anhui – Xidi and Hongcun,China,Asia and the Pacific,Cultural,2000,Not Endangered,117.9875,29.90444444,52,(iii)(iv)(v),,,,1002
Longmen Grottoes,China,Asia and the Pacific,Cultural,2000,Not Endangered,112.4666667,34.46666667,331,(i)(ii)(iii),,,,1003
Imperial Tombs of the Ming and Qing Dynasties,China,Asia and the Pacific,Cultural,2000,Not Endangered,124.7938889,41.70722222,3434.9399,(i)(ii)(iii)(iv)(vi),,,,1004
Yungang Grottoes,China,Asia and the Pacific,Cultural,2001,Not Endangered,113.12222,40.10972,348.75,(i)(ii)(iii)(iv),,,,1039
Three Parallel Rivers of Yunnan Protected Areas,China,Asia and the Pacific,Natural,2003,Not Endangered,98.40638889,27.895,0,(vii)(viii)(ix)(x),,,,1083
Historic Centre of Macao,China,Asia and the Pacific,Cultural,2005,Not Endangered,113.5364611,22.19129194,16.1678,(ii)(iii)(iv)(vi),,,,1110
Cultural Landscape of Honghe Hani Rice Terraces ,China,Asia and the Pacific,Cultural,2013,Not Endangered,102.7799806,23.09327778,16603.22,(iii)(v),,,,1111
Kaiping Diaolou and Villages,China,Asia and the Pacific,Cultural,2007,Not Endangered,112.5658611,22.28551944,371.948,(ii)(iii)(iv),,,,1112
Fujian <em>Tulou</em>,China,Asia and the Pacific,Cultural,2008,Not Endangered,117.6858333,25.02305556,152.65,(iii)(iv)(v),,,,1113
Yin Xu,China,Asia and the Pacific,Cultural,2006,Not Endangered,114.3138889,36.12666667,414,(ii)(iii)(iv)(vi),,,,1114
Capital Cities and Tombs of the Ancient Koguryo Kingdom,China,Asia and the Pacific,Cultural,2004,Not Endangered,126.1872222,41.15694444,4164.8599,(i)(ii)(iii)(iv)(v),,,,1135
"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",China,Asia and the Pacific,Natural,2006,Not Endangered,103,30.83333333,924500,(x),,,,1213
